agriculture,industry,services,gdp_log,year,country,unemployment_rate,target
2.12846428894138,22.1870683757374,75.6843382514296,24.173011236312167,1996,Kuwait,0.7,0.7
56.8012259455151,8.93895698424733,34.2595880071743,20.87216417678232,2012,Timor-Leste,3.468,3.468
10.1401169625655,29.2612663897318,60.5986166477027,27.361854533593466,2005,Russian Federation,7.124,7.124
22.0269452504066,16.5059244971066,61.4671302524868,23.24116278822147,2021,Namibia,20.922,20.922
33.8437935843794,21.8597330145447,44.2960749153218,19.93383104272392,1993,Guyana,11.71,11.71
28.5346198214098,18.8133621513935,52.6520180271966,24.819192114280707,2009,Ecuador,4.608,4.608
37.0980386421407,25.4280538063611,37.4739075514981,26.576951834861614,2021,Pakistan,6.338,6.338
44.695249557484,20.1158213559597,35.1889219039479,26.032541682356257,2008,Pakistan,0.423,0.423
58.7132560493868,9.37891785867474,31.9078188397922,24.33782041420883,2016,"Congo, Dem. Rep.",4.521,4.521
15.7899044059111,29.9799194968617,54.2301694867973,26.56940870330601,2006,Poland,13.794,13.794
21.4174702282134,17.6303446583316,60.9521966463139,26.546236745621112,2020,South Africa,29.217,29.217
43.6868717298504,21.0381782907574,35.2749499793922,25.924325376772643,1996,Turkiye,6.629,6.629
51.6900020955216,16.7657138877447,31.5442922587065,24.811043725829222,2015,Myanmar,0.766,0.766
8.70535040950901,23.3259163014368,67.9687332890542,24.686424481531535,2000,New Zealand,6.13,6.13
48.3468339448455,10.8779737247011,40.7751923304533,21.85303312193071,1996,Georgia,11.5,11.5
10.743090600802,21.7387585471268,67.5181508520712,21.32296219610071,2020,Cabo Verde,14.69,14.69
89.1584195081733,2.76291531717949,8.07869388205047,21.200639650812754,2008,Burundi,1.634,1.634
79.0512850677304,8.4956505752465,12.4530898205484,21.384952368650705,1994,Niger,1.502,1.502
1.76833535602151,19.4270487784832,78.8046158654953,30.60716794060147,2017,United States,4.355,4.355
58.2450989054275,17.9975736389415,23.757327455631,25.582219445921403,1993,Thailand,1.49,1.49
40.0332751861737,21.5626663069176,38.4040585069086,23.63590017047793,2001,Guatemala,2.745,2.745
9.13272129180497,33.7759391926716,57.0913133397673,24.418530694941747,1993,Hungary,12.098,12.098
17.2194776767679,33.0499087743015,49.7306135489305,23.603892752472017,2003,Belarus,10.215,10.215
34.836615954686,15.4309149768851,49.7325260930334,21.711991458197566,2010,Somalia,19.031,19.031
37.6533344841175,14.2869777546146,48.0596877612679,24.967178373066652,2012,Azerbaijan,5.19,5.19
36.2592246128261,14.0023559574542,49.7401517513772,19.9826114366266,2005,Samoa,5.212,5.212
34.7226748940748,24.559967253377,40.7173578525482,23.408075007744998,1995,Guatemala,2.577,2.577
28.2455143549954,20.8526994594561,50.9014757065725,21.815324646980205,2005,Fiji,3.886,3.886
8.18410517728018,22.8726029424412,68.9432918802787,23.74444449330465,1996,Uruguay,11.93,11.93
1.23335915273746,33.3783363134234,65.3881235567074,23.801959631260768,2007,Bahrain,1.006,1.006
3.54449838954833,40.5001490281018,55.9553525823499,25.774635175375987,2006,Czechia,7.141,7.141
51.668774790173,20.1802542701357,28.1509641650318,24.918536067683632,2006,Viet Nam,2.046,2.046
31.392216254595,14.4432165637919,54.1645671816131,23.2117749299805,2013,Namibia,19.028,19.028
3.34911838598909,28.7280811465104,67.9228004675006,25.231265255435552,1994,Israel,9.934,9.934
3.75416457546633,40.4806647878036,55.7651706367301,25.645173267893924,2005,Czechia,7.927,7.927
22.8596428916756,34.9837299448474,42.156627163477,22.023977710830213,1997,Bosnia and Herzegovina,22.378,22.378
46.6413801336465,18.5563197157415,34.802300150612,25.58003082988286,2011,Bangladesh,3.736,3.736
18.6871998440518,19.6104839710078,61.7023161849404,19.590070942691153,2017,Sao Tome and Principe,8.808,8.808
7.51499309240674,25.5437278625715,66.9412604587356,25.62983533145215,1994,Saudi Arabia,6.889,6.889
38.9913960467312,10.4503286080667,50.5582753452021,21.10838477172355,2017,Solomon Islands,0.725,0.725
35.3411321747915,22.4552106532117,42.2036571719969,25.43794444716624,2016,Morocco,9.3,9.3
1.36862956960202,19.1579094125233,79.4734610178747,23.320907952719722,2007,Brunei Darussalam,6.091,6.091
2.39725736785384,4.50599526488633,93.0967473672598,20.12766426821615,2000,Djibouti,26.664,26.664
8.53379294560655,28.0339376090374,63.4322694453561,25.37089545081499,2000,United Arab Emirates,2.25,2.25
4.77732151336537,29.8951081731805,65.3275449748159,25.63331478443455,2013,Hungary,10.177,10.177
17.6236699514304,16.0898151267582,66.2865149218114,23.39359073847836,2011,Jamaica,8.034,8.034
7.10455245848222,28.9306720716641,63.9647754698537,25.41778912389513,2001,Ireland,3.684,3.684
3.53509509743732,28.7957618614097,67.669086247915,24.98592817873401,1991,Israel,13.387,13.387
43.6134174554525,18.5519508381551,37.8346317063924,23.092885212010785,2011,Benin,2.647,2.647
72.6492700950796,7.89399072997124,19.4566977242751,22.487334998967004,2009,Lao PDR,0.834,0.834
0.262038688434628,14.1720400603649,85.5645493208945,22.498387665190904,2016,Guam,5.4,5.4
56.3182611295094,5.67396733353659,38.0077715369541,25.371493087625737,2022,Angola,14.602,14.602
12.6385123888334,20.1883292909117,67.1731583202549,20.3953836458596,2010,St. Vincent and the Grenadines,19.966,19.966
43.9935709535845,27.0718442622611,28.9345755777069,24.30548272684783,1999,Romania,6.239,6.239
66.9413267020633,4.49089320518852,28.5691242691041,19.386129330671462,2002,Vanuatu,8.621,8.621
4.08075664024132,22.5748842392936,73.3443339742271,26.615117448558276,2003,Switzerland,4.117,4.117
5.52684899810171,27.324158994563,67.1489920073353,26.681070641736586,2007,Austria,4.909,4.909
70.4346110595987,2.71880158088211,26.8465873595192,20.663207317335782,1996,Sierra Leone,4.216,4.216
66.7846420304422,8.529913466544,24.6857719092037,19.542217908074058,1996,Timor-Leste,3.479,3.479
67.6721589307905,7.28849226668199,25.0393488025275,23.038601594770636,2010,Malawi,4.798,4.798
37.4863136057166,15.181812943007,47.3289921051115,18.45696674910766,1995,Sao Tome and Principe,14.356,14.356
75.2920620374423,5.34397622772067,19.3639516577382,22.98678566339027,2009,Madagascar,3.887,3.887
0.243509787740635,13.4620327655948,86.2931046145105,22.55328401845197,2021,Guam,5.991,5.991
69.2731213898656,7.35399673930072,23.3728818708337,21.725415483710247,1991,Mali,1.405,1.405
56.1339847501813,9.90870690162103,33.9573083481977,20.404351476129303,2009,Timor-Leste,3.291,3.291
63.9271667409912,9.35264042354074,26.7201552662139,23.392324320788095,2015,Lao PDR,2.494,2.494
5.31786577156452,23.4044005090279,71.2775492890209,23.157590031510512,2020,Mauritius,8.626,8.626
53.1230786150841,14.2506577006402,32.6262811414925,23.181244482681517,1997,Sudan,15.305,15.305
24.6004904725461,22.2495423554519,53.149967172002,27.03974120295688,1994,Mexico,4.436,4.436
35.175734244404,21.4965376309352,43.327734226343,24.672545770749583,1994,"Egypt, Arab Rep.",10.93,10.93
92.0697682054543,2.34684848935211,5.58334010185619,20.645337366447343,1994,Burundi,3.095,3.095
45.6759853792773,14.6163175518375,39.7076413071662,21.25313939486139,1998,Moldova,10.0,10.0
17.9460990980078,33.4203909913051,48.6335099106871,24.55637748649203,2010,Tunisia,13.049,13.049
77.7987427932206,6.48310858492473,15.7181585856895,23.347919887313367,1991,Ethiopia,3.264,3.264
31.5296815488284,22.900197559609,45.5701234252226,26.8465408263068,2017,Thailand,0.83,0.83
1.52909243866435,21.4263416595679,77.0445659017677,23.786074052048118,2001,Luxembourg,1.805,1.805
2.13496704724775,19.4699712243572,78.3973823447508,21.95960902159324,2003,Virgin Islands (U.S.),11.254,11.254
10.1831266225746,34.2279147304526,55.5889586469728,22.228003213679933,1995,Estonia,9.659,9.659
9.28793608253955,21.5838220886985,69.1283039521004,24.839659226292564,2013,Uruguay,6.444,6.444
1.25624311534754,18.9652710754023,79.7784953701609,28.750973492506237,2014,United Kingdom,6.363,6.363
19.593491890214,27.5619058818265,52.8445903259577,25.39653026503492,2005,Algeria,15.27,15.27
89.2597888066454,3.34285871083955,7.39735248251509,21.934221952948157,1992,Burkina Faso,2.511,2.511
12.0645943871306,20.9808536775667,66.9545448454638,26.370559085574783,1999,Argentina,14.05,14.05
